================================================================================================
                                        FOR PROPERTY 1                  
================================================================================================

Network 	 Input Node 	 Bin Combination 	 Execution Time 	 Counterexample
----------------------------------------------------------------------------------------------

1_1 	 	 1 	 	 	 	 3 sec    	 	 	 none found 


1_2 	 	 1 	 	 	 	 3 sec    	 	 	 none found 


1_3 	 	 1 	 	 	 	 3 sec    	 	 	 none found 


1_4 	 	 1 	 	 	 	 3 sec    	 	 	 none found 


1_5 	 	 1 	 	 	 	 3 sec    	 	 	 none found 


1_6 	 	 1 	 	 	 	 3 sec    	 	 	 none found 


1_7 	 	 1 	 	 	 	 3 sec    	 	 	 none found 


1_8 	 	 1 	 	 	 	 3 sec    	 	 	 none found 


1_9 	 	 1 	 	 	 	 3 sec    	 	 	 none found 


2_1 	 	 1 	 	 	 	 2 sec    	 	 	 none found 


2_2 	 	 1 	 	 	 	 2 sec    	 	 	 none found 


2_3 	 	 1 	 	 	 	 2 sec    	 	 	 none found 


2_4 	 	 1 	 	 	 	 2 sec    	 	 	 none found 


2_5 	 	 1 	 	 	 	 2 sec    	 	 	 none found 


2_6 	 	 1 	 	 	 	 2 sec    	 	 	 none found 


2_7 	 	 1 	 	 	 	 2 sec    	 	 	 none found 


2_8 	 	 1 	 	 	 	 3 sec    	 	 	 none found 


2_9 	 	 1 	 	 	 	 3 sec    	 	 	 none found 


3_1 	 	 1 	 	 	 	 3 sec    	 	 	 none found 


3_2 	 	 1 	 	 	 	 3 sec    	 	 	 none found 


3_3 	 	 1 	 	 	 	 3 sec    	 	 	 none found 


3_4 	 	 1 	 	 	 	 3 sec    	 	 	 none found 


3_5 	 	 1 	 	 	 	 3 sec    	 	 	 none found 


3_6 	 	 1 	 	 	 	 3 sec    	 	 	 none found 


3_7 	 	 1 	 	 	 	 2 sec    	 	 	 none found 


3_8 	 	 1 	 	 	 	 2 sec    	 	 	 none found 


3_9 	 	 1 	 	 	 	 2 sec    	 	 	 none found 


4_1 	 	 1 	 	 	 	 2 sec    	 	 	 none found 


4_2 	 	 1 	 	 	 	 2 sec    	 	 	 none found 


4_3 	 	 1 	 	 	 	 2 sec    	 	 	 none found 


4_4 	 	 1 	 	 	 	 2 sec    	 	 	 none found 


4_5 	 	 1 	 	 	 	 3 sec    	 	 	 none found 


4_6 	 	 1 	 	 	 	 3 sec    	 	 	 none found 


4_7 	 	 1 	 	 	 	 3 sec    	 	 	 none found 


4_8 	 	 1 	 	 	 	 3 sec    	 	 	 none found 


4_9 	 	 1 	 	 	 	 3 sec    	 	 	 none found 


5_1 	 	 1 	 	 	 	 3 sec    	 	 	 none found 


5_2 	 	 1 	 	 	 	 3 sec    	 	 	 none found 


5_3 	 	 1 	 	 	 	 3 sec    	 	 	 none found 


5_4 	 	 1 	 	 	 	 3 sec    	 	 	 none found 


5_5 	 	 1 	 	 	 	 3 sec    	 	 	 none found 


5_6 	 	 1 	 	 	 	 3 sec    	 	 	 none found 


5_7 	 	 1 	 	 	 	 2 sec    	 	 	 none found 


5_8 	 	 1 	 	 	 	 2 sec    	 	 	 none found 


5_9 	 	 1 	 	 	 	 2 sec    	 	 	 none found 


