================================================================================================
                                        FOR PROPERTY 3                  
================================================================================================

Network 	 Input Node 	 Bin Combination 	 Execution Time 	 Counterexample
----------------------------------------------------------------------------------------------

1_1 	 	 1 	 	 0	 	 2678 sec    	 	 	 none found 
1_1 	 	 1 	 	 1	 	 2344 sec    	 	 	 none found 
1_1 	 	 1 	 	 2	 	 2127 sec    	 	 	 none found 
1_1 	 	 1 	 	 3	 	 612 sec    	 	 	 none found 
1_1 	 	 1 	 	 4	 	 3410 sec    	 	 	 none found 
1_1 	 	 1 	 	 5	 	 3224 sec    	 	 	 none found 
1_1 	 	 1 	 	 6	 	 1542 sec    	 	 	 none found 
1_1 	 	 1 	 	 7	 	 1167 sec    	 	 	 none found 
1_1 	 	 1 	 	 8	 	 3437 sec    	 	 	 none found 
1_1 	 	 1 	 	 9	 	 2384 sec    	 	 	 none found 
1_1 	 	 1 	 	 10	 	 1575 sec    	 	 	 none found 
1_1 	 	 1 	 	 11	 	 2592 sec    	 	 	 none found 
1_1 	 	 1 	 	 12	 	 2393 sec    	 	 	 none found 
1_1 	 	 1 	 	 13	 	 3114 sec    	 	 	 none found 
1_1 	 	 1 	 	 14	 	 2173 sec    	 	 	 none found 
1_1 	 	 1 	 	 15	 	 2513 sec    	 	 	 none found 
1_1 	 	 1 	 	 16	 	 2846 sec    	 	 	 none found 
1_1 	 	 1 	 	 17	 	 2542 sec    	 	 	 none found 
1_1 	 	 1 	 	 18	 	 2009 sec    	 	 	 none found 
1_1 	 	 1 	 	 19	 	 1665 sec    	 	 	 none found 
1_1 	 	 1 	 	 20	 	 2142 sec    	 	 	 none found 
1_1 	 	 1 	 	 21	 	 2364 sec    	 	 	 none found 
1_1 	 	 1 	 	 22	 	 2431 sec    	 	 	 none found 
1_1 	 	 1 	 	 23	 	 1977 sec    	 	 	 none found 
1_1 	 	 1 	 	 24	 	 3187 sec    	 	 	 none found 
1_1 	 	 1 	 	 25	 	 2437 sec    	 	 	 none found 
1_1 	 	 1 	 	 26	 	 1793 sec    	 	 	 none found 
1_1 	 	 1 	 	 27	 	 2011 sec    	 	 	 none found 
1_1 	 	 1 	 	 28	 	 2515 sec    	 	 	 none found 
1_1 	 	 1 	 	 29	 	 3107 sec    	 	 	 none found 
1_1 	 	 1 	 	 30	 	 1187 sec    	 	 	 none found 
1_1 	 	 1 	 	 31	 	 1877 sec    	 	 	 none found 
1_1 	 	 1 	 	 32	 	 1711 sec    	 	 	 none found 
1_1 	 	 1 	 	 33	 	 2094 sec    	 	 	 none found 
1_1 	 	 1 	 	 34	 	 3351 sec    	 	 	 none found 
1_1 	 	 1 	 	 35	 	 1279 sec    	 	 	 none found 
1_1 	 	 1 	 	 36	 	 1368 sec    	 	 	 none found 
1_1 	 	 1 	 	 37	 	 2378 sec    	 	 	 none found 
1_1 	 	 1 	 	 38	 	 2776 sec    	 	 	 none found 
1_1 	 	 1 	 	 39	 	 1162 sec    	 	 	 none found 
1_1 	 	 1 	 	 40	 	 2739 sec    	 	 	 none found 
1_1 	 	 1 	 	 41	 	 2237 sec    	 	 	 none found 
1_1 	 	 1 	 	 42	 	 2368 sec    	 	 	 none found 
1_1 	 	 1 	 	 43	 	 1431 sec    	 	 	 none found 
1_1 	 	 1 	 	 44	 	 3844 sec    	 	 	 none found 
